,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
225,-3.01,114.39,91.4,63,40,4.7,1601523219
226,-13.34,-44.64,72.14,46,1,5.77,1601523220
227,62.23,-6.59,42.8,87,100,6.31,1601523220
228,45.41,79.92,49.53,43,100,4.41,1601523221
229,-11.1,-77.61,61.61,84,93,8.86,1601523221
230,8.92,-67.43,73.11,92,93,4.99,1601523222
231,62.46,-114.35,39.2,93,75,4.7,1601523222
232,-20.1,146.27,88.95,26,38,9.31,1601523223
233,46.54,138.33,57.92,66,98,11.45,1601523223
234,9.11,18.35,73.4,94,20,2.8,1601523224
235,-3.67,152.43,84.16,72,96,5.08,1601523224
236,69.22,-51.1,19.4,62,0,8.05,1601523225
237,20.5,-10.07,87.87,18,0,13.73,1601523226
238,44.76,136.29,60.24,58,100,11.01,1601523226
239,29.8,71.72,77.0,78,0,4.7,1601523226
240,57.05,-135.33,55.4,87,90,10.29,1601523227
241,67.45,153.68,42.71,57,0,14.74,1601523228
242,9.02,37.45,50.41,100,100,0.58,1601523228
243,-33.01,17.94,51.8,76,3,12.75,1601523229
244,47.49,8.9,52.0,93,90,1.48,1601523229
245,22.89,-109.91,84.2,66,5,11.41,1601523229
246,49.76,129.52,56.52,51,0,7.05,1601523230
247,-33.13,148.18,73.0,38,58,1.99,1601523230
248,14.92,-23.51,77.0,88,20,10.29,1601523231
249,41.28,-70.1,61.0,76,1,11.41,1601523066
250,50.61,105.32,38.08,61,100,5.99,1601523231
251,-0.32,102.35,85.12,74,82,3.4,1601523232
252,-32.72,152.15,77.0,41,40,19.46,1601523233
253,-2.02,147.27,84.42,75,100,6.22,1601523233
254,66.77,123.37,33.31,87,82,5.06,1601523234
255,-19.83,46.85,67.21,43,4,4.94,1601523234
256,43.48,-8.24,59.0,93,75,8.05,1601523235
257,45.25,77.98,48.87,49,100,10.36,1601523235
258,51.32,42.77,53.04,43,100,13.94,1601523235
259,-33.87,121.9,69.8,60,5,14.99,1601523236
260,2.3,111.82,87.8,66,20,3.36,1601523236
261,35.73,140.83,68.0,82,75,3.36,1601523236
262,-18.56,-51.13,86.49,19,60,4.05,1601523236
263,32.67,-17.1,68.0,82,75,8.05,1601523168
264,-38.23,175.87,61.0,66,86,7.0,1601523237
265,64.86,-147.8,57.2,50,90,3.36,1601523238
266,20.9,70.37,81.88,73,3,7.09,1601523238
267,-23.49,-58.8,86.59,30,3,7.2,1601523238
268,24.69,46.72,69.8,30,0,3.36,1601523127
269,5.56,7.64,71.47,99,100,0.43,1601523239
270,11.3,-10.72,72.12,91,100,2.1,1601523239
271,44.06,-121.32,69.01,30,1,6.93,1601523240
272,43.75,-81.72,57.99,85,100,19.19,1601523240
273,61.6,5.03,55.4,82,99,11.41,1601523240
274,36.62,-121.92,66.0,86,0,2.19,1601523241
275,70.47,-68.59,28.4,100,90,16.11,1601523241
276,62.88,152.43,46.78,52,90,11.39,1601523242
277,42.87,-106.31,48.99,45,1,8.05,1601523242
278,2.67,72.89,82.69,73,89,8.01,1601523242
279,-34.48,-54.33,60.98,94,0,2.75,1601523243
280,32.29,-115.11,95.0,10,5,5.82,1601523243
281,-7.47,-34.81,75.2,88,75,5.82,1601523243
282,-20.23,164.02,72.48,66,16,14.45,1601523244
283,-26.76,-53.17,68.0,89,0,5.95,1601523244
284,71.69,128.87,27.12,94,85,22.66,1601523161
285,-16.48,-151.75,79.05,78,26,23.53,1601523245
286,5.84,-5.36,72.1,97,100,3.65,1601523245
287,-20.73,139.5,93.2,14,62,6.93,1601523119
288,64.25,-15.21,44.2,75,35,15.39,1601523246
289,41.7,-73.92,57.99,81,1,6.85,1601523052
290,9.18,105.15,81.75,83,100,7.87,1601523244
291,40.6,-124.16,57.99,100,90,5.41,1601523246
292,71.0,24.66,48.2,93,80,13.87,1601523247
293,-3.42,114.85,91.4,63,40,4.7,1601523247
294,19.73,-155.09,82.4,74,40,6.93,1601522963
295,39.25,-8.01,60.01,63,26,1.01,1601523247
296,-34.73,135.87,66.63,52,6,11.34,1601523248
297,47.38,-61.86,64.4,88,75,24.16,1601523248
298,11.03,20.28,68.49,92,100,3.6,1601523248
299,58.74,29.85,45.97,90,50,4.99,1601523249
300,13.07,-59.53,78.8,88,90,21.92,1601523249
301,19.28,-72.5,74.95,83,100,3.62,1601523249
302,63.18,14.64,50.0,87,77,10.29,1601523250
303,37.1,-113.58,79.0,9,1,4.7,1601523010
304,-30.39,-56.45,72.45,87,42,8.55,1601523250
305,33.08,-16.33,68.0,88,40,8.05,1601523251
306,-34.93,138.6,64.4,52,16,12.75,1601523170
307,18.28,-70.33,81.0,84,76,3.0,1601523251
308,11.28,-15.83,81.86,75,98,6.15,1601523252
309,20.7,-105.2,82.4,83,40,2.24,1601523252
310,-13.7,-76.22,63.0,88,20,11.41,1601523253
311,48.97,-54.59,69.8,88,75,16.11,1601523253
312,7.98,-81.16,74.16,95,99,2.86,1601523254
313,56.34,114.88,38.5,70,100,4.29,1601523254
314,-10.22,-37.42,66.02,98,9,5.23,1601523255
315,-12.79,45.27,73.4,94,1,1.12,1601523255
316,37.27,28.22,53.6,76,0,1.12,1601523255
317,41.45,69.17,57.2,54,0,9.17,1601523256
318,22.69,58.53,80.56,32,2,3.22,1601523257
319,61.58,-149.44,57.2,58,1,14.99,1601523257
320,11.67,-9.5,74.57,89,92,3.33,1601523258
321,66.94,-53.67,24.28,87,0,13.58,1601523258
322,-35.1,173.78,57.65,59,62,3.71,1601523259
323,-32.16,25.62,47.28,80,91,7.81,1601523259
324,71.92,114.08,29.5,93,81,3.74,1601523260
325,40.16,-83.08,57.0,71,1,11.41,1601523213
326,53.12,18.01,55.99,93,20,4.7,1601523260
327,37.57,126.98,71.6,64,90,7.02,1601522973
328,12.06,-61.75,82.4,83,40,6.93,1601523261
329,41.35,-1.64,59.0,93,90,4.7,1601523261
330,47.11,-104.71,48.0,45,1,13.87,1601523261
331,20.86,92.31,86.49,73,36,11.18,1601523262
332,-19.8,-174.35,75.2,100,75,9.17,1601523263
333,-17.51,-149.49,84.2,62,20,8.05,1601523263
334,-26.37,-70.05,52.2,45,0,0.11,1601523264
335,63.07,40.33,42.51,96,100,2.04,1601523264
336,59.38,143.3,55.6,51,0,5.12,1601523265
337,32.12,76.53,75.7,25,0,3.65,1601523265
338,-2.05,33.87,69.8,88,20,2.68,1601523266
339,30.48,-115.95,80.28,38,0,5.7,1601523266
340,21.46,-71.14,84.06,81,100,20.15,1601523267
341,49.78,-74.85,48.2,93,90,6.93,1601523267
342,-18.37,21.85,69.96,56,13,5.17,1601523267
343,-20.52,57.52,66.2,93,75,4.7,1601523268
344,-29.21,26.84,33.8,59,0,2.24,1601523268
345,1.74,98.78,84.33,69,87,5.53,1601523269
346,48.76,-91.62,40.93,92,70,7.56,1601523269
347,-37.83,140.77,60.8,55,56,19.46,1601523269
348,-6.98,-34.83,75.2,88,75,5.82,1601523035
349,69.31,16.12,50.0,93,17,6.93,1601523270
350,-8.93,125.41,79.48,43,44,7.63,1601523270
351,50.03,-66.87,50.0,87,40,12.75,1601523270
352,18.74,7.39,88.97,24,1,7.52,1601523271
353,51.03,-4.22,52.0,84,67,5.99,1601523271
354,41.64,13.51,55.0,93,0,1.01,1601523271
355,34.67,138.95,68.0,82,75,10.29,1601523189
356,-24.79,-50.01,62.55,97,13,6.02,1601523271
357,69.65,18.96,46.4,93,97,5.82,1601523272
358,48.83,58.14,55.72,55,1,13.2,1601523272
359,-14.25,129.55,89.29,53,17,8.93,1601523272
360,50.06,43.24,48.99,52,100,5.01,1601523273
361,34.55,-90.64,66.2,59,0,8.08,1601523273
362,22.81,115.83,82.0,63,80,17.16,1601523273
363,10.24,123.85,89.6,66,20,6.93,1601523274
